condition,n,accuracy_rate,hallucination_rate,hallucination_ci_low,hallucination_ci_high,abstention_rate,unsupported_claim_rate,mean_confidence,mean_confidence_error,mean_latency_ms
clean,100,0.97,0.03,0.0,0.07,0.0,0.0,0.8918999999999998,0.12409999999999995,47.3866
irrelevant,100,0.89,0.11,0.05,0.17,0.0,0.0,0.7947,0.25949999999999995,45.8631
duplicate_noise,100,0.89,0.11,0.05,0.17,0.0,0.0,0.7996,0.2618,45.093799999999995
contradictory,100,0.52,0.48,0.38,0.58,0.0,0.0,0.7809,0.4741,50.07849999999999
missing,100,0.27,0.36,0.27,0.45,0.64,0.36,0.8161999999999999,0.6448,45.87060000000001
no_context,100,0.53,0.72,0.63,0.81,0.28,0.72,0.7625000000000002,0.4425,50.67060000000001
